McGill University - INTERSTELLAR HAB
Time,Pressure,Temp0,Temp1,Temp2,alt,alt_real,SL
2565,100465.00,24.40,0.00,0.00,72.35,72.52,100456.00,
5941,100460.00,24.40,0.00,0.00,71.60,71.93,100467.00,
9317,100457.00,24.40,0.00,0.00,72.02,72.86,100456.00,
12693,100464.00,24.40,0.00,0.00,72.02,72.35,100449.00,
16070,100459.00,24.30,0.00,0.00,72.27,72.18,100460.00,
19447,100467.00,24.30,0.00,0.00,72.02,71.85,100463.00,
22824,100457.00,24.20,0.00,0.00,72.27,72.69,100460.00,
26201,100466.00,24.20,0.00,0.00,72.44,72.69,100466.00,
29581,100459.00,24.20,0.00,0.00,72.10,72.10,100462.00,
32958,100461.00,24.20,0.00,0.00,72.02,72.60,100465.00,
36335,100468.00,24.20,0.00,0.00,71.43,71.68,100463.00,
39712,100457.00,24.20,0.00,0.00,72.52,72.27,100458.00,
43088,100465.00,24.30,0.00,0.00,71.93,71.93,100458.00,
46466,100464.00,24.30,0.00,0.00,71.43,72.35,100463.00,
49843,100465.00,24.30,0.00,0.00,72.69,72.60,100459.00,
53220,100459.00,24.30,0.00,0.00,72.77,72.60,100460.00,
56597,100434.00,24.30,0.00,0.00,74.03,74.28,100440.00,
59976,100394.00,24.30,0.00,0.00,77.89,76.46,100399.00,
63353,100361.00,24.30,0.00,0.00,80.07,80.07,100365.00,
66731,100333.00,24.40,0.00,0.00,82.75,84.10,100331.00,
70108,100296.00,24.40,0.00,0.00,86.70,86.78,100288.00,
73485,100253.00,24.40,0.00,0.00,90.06,89.64,100250.00,
76862,100228.00,24.40,0.00,0.00,91.40,91.07,100240.00,
80238,100222.00,24.40,0.00,0.00,91.90,91.99,100225.00,
83615,100236.00,24.40,0.00,0.00,91.57,91.32,100236.00,
86992,100239.00,24.40,0.00,0.00,90.90,90.73,100240.00,
90373,100234.00,24.40,0.00,0.00,91.99,91.40,100228.00,
93749,100246.00,24.50,0.00,0.00,90.48,90.65,100245.00,
97126,100270.00,24.50,0.00,0.00,87.96,87.29,100271.00,
100503,100293.00,24.50,0.00,0.00,85.69,86.28,100297.00,
103881,100314.00,24.50,0.00,0.00,84.26,84.94,100307.00,
107259,100345.00,24.50,0.00,0.00,82.08,82.75,100341.00,
110638,100362.00,24.50,0.00,0.00,80.40,79.56,100363.00,
114016,100385.00,24.50,0.00,0.00,78.56,79.06,100382.00,
117393,100403.00,24.50,0.00,0.00,76.29,76.63,100410.00,
120774,100421.00,24.60,0.00,0.00,75.04,75.29,100426.00,
124152,100439.00,24.60,0.00,0.00,73.28,73.28,100445.00,
127531,100459.00,24.60,0.00,0.00,72.69,72.77,100452.00,
130909,100465.00,24.60,0.00,0.00,71.85,71.43,100467.00,
134287,100454.00,24.60,0.00,0.00,71.93,71.68,100468.00,
137665,100461.00,24.60,0.00,0.00,72.60,72.69,100451.00,
141042,100445.00,24.60,0.00,0.00,73.44,73.69,100443.00,
144420,100400.00,24.60,0.00,0.00,77.55,77.47,100396.00,
147799,100364.00,24.60,0.00,0.00,81.24,80.91,100356.00,
151180,100333.00,24.60,0.00,0.00,83.68,83.93,100322.00,
154558,100281.00,24.60,0.00,0.00,86.61,86.95,100286.00,
157935,100249.00,24.60,0.00,0.00,90.06,90.56,100246.00,
161313,100225.00,24.60,0.00,0.00,92.16,92.41,100220.00,
164691,100221.00,24.60,0.00,0.00,91.82,91.82,100217.00,
168070,100235.00,24.60,0.00,0.00,90.98,90.90,100234.00,
171448,100230.00,24.60,0.00,0.00,91.65,91.82,100225.00,
174826,100222.00,24.60,0.00,0.00,92.07,91.57,100227.00,
178204,100249.00,24.60,0.00,0.00,89.05,90.14,100264.00,
181584,100276.00,24.60,0.00,0.00,87.87,88.63,100272.00,
184963,100294.00,24.60,0.00,0.00,86.03,86.45,100289.00,
188341,100324.00,24.60,0.00,0.00,83.76,83.59,100326.00,
191719,100343.00,24.70,0.00,0.00,81.66,81.83,100345.00,
195097,100365.00,24.70,0.00,0.00,79.40,79.48,100379.00,
198475,100394.00,24.70,0.00,0.00,77.55,78.31,100394.00,
201853,100412.00,24.70,0.00,0.00,75.88,76.13,100411.00,
205232,100441.00,24.70,0.00,0.00,74.11,74.53,100435.00,
208609,100457.00,24.70,0.00,0.00,73.19,72.77,100456.00,
211990,100457.00,24.70,0.00,0.00,72.52,71.77,100461.00,
215368,100459.00,24.70,0.00,0.00,71.60,71.43,100465.00,
218746,100463.00,24.60,0.00,0.00,71.93,71.68,100465.00,
222125,100462.00,24.60,0.00,0.00,71.93,71.85,100467.00,
225503,100465.00,24.50,0.00,0.00,72.27,72.18,100469.00,
228881,100463.00,24.50,0.00,0.00,71.85,72.18,100466.00,
232258,100462.00,24.50,0.00,0.00,72.44,72.10,100465.00,
